date,site,station_depth_m,sample_depth_m,sample_depth_category,local_time_eastern_time_zone,latitude_decimal_deg,longitude_decimal_deg,wind_speed_knots,wave_height_ft,sky,secchi_depth_m,sample_temperature_c,ctd_temperature_c,ctd_specific_conductivity_us_cm,ctd_beam_attenuation_m_1,ctd_transmission_pct,ctd_dissolved_oxygen_mg_l,ctd_photosynthetically_active_radiation_ue_m2_s,turbidity_ntu,particulate_microcystin_ug_l,dissolved_microcystin_ug_l,extracted_phycocyanin_ug_l,extracted_chlorophyll_a_ug_l,total_phosphorus_ug_p_l,total_dissolved_phosphorus_ug_p_l,soluble_reactive_phosphorus_ug_p_l,ammonia_ug_n_l,nitrate_nitrite_mg_n_l,urea_ug_n_l,particulate_organic_carbon_mg_l,particulate_organic_nitrogen_mg_l,dissolved_organic_carbon_mg_l,colored_dissolved_organic_material_absorbance_m_1_at_400nm,total_suspended_solids_mg_l,volatile_suspended_solids_mg_l
5/15/2012,WE2,5.1,0.75,Surface,10:40:00,41.0127,-83.0055,NA,NA,sunny,1.8,17.9,NA,NA,NA,NA,NA,NA,NA,0.1,NA,0.28,3.67,16.21,NA,3.23,10.219999999999999,0.459,NA,NA,NA,2.88,NA,3.47,1.11
5/15/2012,WE4,10,0.75,Surface,10:08:00,41.8267,-83.1933,NA,NA,sunny,2.4,16.3,NA,NA,NA,NA,NA,NA,NA,0.1,NA,0.17,3.05,8.25,4.61,2.02,28.79,0.325,NA,0.34,0.05,1.8,NA,3.15,1.01
5/15/2012,WE6,2.7,0.75,Surface,11:02:00,41.7052,-83.3853,NA,NA,sunny,2.1,19.3,NA,NA,NA,NA,NA,NA,NA,0.1,NA,0.45,2.24,22.52,9.66,2.9699999999999998,35.7,0.515,NA,0.4,0.08,4.35,NA,2.9,0.98
5/15/2012,WE8,4.5,0.75,Surface,11:31:00,41.8339,-83.364,NA,NA,sunny,1.2,19,NA,NA,NA,NA,NA,NA,NA,0.1,NA,0.52,5.73,23.16,6.01,3.02,11.28,0.513,NA,0.49,0.12,2.53,NA,4.32,1.06
5/31/2012,WE2,8.2,0.75,Surface,11:15:00,41.7625,-83.3286,NA,NA,mostly cloudy,1.8,20.7,NA,NA,NA,NA,NA,NA,NA,0.1,NA,0.61,6.07,42.01,12.29,5.1499999999999995,14.68,0.466,NA,0.5,0.07,2.8,NA,21.42,2.4
5/31/2012,WE4,5,0.75,Surface,11:50:00,41.8265,-83.1934,NA,NA,cloudy,0.5,21.4,NA,NA,NA,NA,NA,NA,NA,0.1,NA,0.31,4.86,12.81,2.53,0.37,15.38,0.323,NA,0.99,0.16,1.94,NA,4.92,1.52
5/31/2012,WE6,2,0.75,Surface,12:15:00,41.7041,-83.386,NA,NA,cloudy,0.5,22.1,NA,NA,NA,NA,NA,NA,NA,0.1,NA,0.8,11.81,77.08,21.04,7.03,19.82,1.852,NA,1.48,0.25,5.83,NA,30.1,4.02
5/31/2012,WE8,4.2,0.75,Surface,12:53:00,41.835,-83.3636,NA,NA,cloudy,0.7,22.5,NA,NA,NA,NA,NA,NA,NA,0.1,NA,0.31,3.61,42.54,18.68,10.79,52.14,0.594,NA,NA,NA,3.1,NA,14.3,1.78
6/11/2012,WE2,5.1,0.75,Surface,10:37:00,41.7627,-83.3291,NA,NA,rain,1,21.7,NA,NA,NA,NA,NA,NA,NA,0.1,NA,3.8699999999999997,23.59,31.57,7.86,0.76,13.9,0.451,NA,0.97,0.19,3.1,NA,9.73,2.09
6/11/2012,WE4,8.1,0.75,Surface,11:59:00,41.8272,-83.1931,NA,NA,rain,2.4,20.1,NA,NA,NA,NA,NA,NA,NA,0.1,NA,0.31,5.3,9.35,3.38,0.25,1.91,0.268,NA,0.44,0.07,1.93,NA,2.51,1.27
6/22/2012,WE2,5.3,0.75,Surface,10:08:00,41.7633,-83.3301,NA,NA,clear,1,23.6,NA,NA,NA,NA,NA,NA,NA,0.1,NA,0.29000000000000004,5.02,23.11,8.02,2.62,23.439999999999998,0.33699999999999997,NA,0.35,0.07,2.48,NA,6.39,1.31
6/22/2012,WE4,8.7,0.75,Surface,11:55:00,41.8271,-83.1932,NA,NA,clear,2.1,24.2,NA,NA,NA,NA,NA,NA,NA,0.1,NA,0.65,17.57,15.5,3.91,0.31,2.2800000000000002,0.19,NA,NA,NA,1.98,NA,3.76,2.04
6/22/2012,WE6,2.6,0.75,Surface,10:43:00,41.7069,-83.3846,NA,NA,clear,1.8,25.6,NA,NA,NA,NA,NA,NA,NA,0.1,NA,0.37,2.43,15.19,5.53,0.36,2.61,0.192,NA,NA,NA,4.07,NA,2.83,0.6
6/22/2012,WE8,4.3,0.75,Surface,09:45:00,41.8379,-83.3647,NA,NA,clear,3,24.4,NA,NA,NA,NA,NA,NA,NA,0.1,NA,0.16,2.21,26.61,17.85,9.55,43.120000000000005,0.447,NA,0.17,0.03,2.92,NA,2,0.35
7/12/2012,WE2,5.5,0.75,Surface,10:05:00,41.7626,-83.3295,NA,NA,clear,0.9,26.6,NA,NA,NA,NA,NA,NA,NA,0.4,NA,3.23,25.41,56.62,9.07,1.09,10.01,0.15700000000000003,NA,2.16,0.35,3.62,NA,11.6,4.17
7/12/2012,WE4,8.4,0.75,Surface,11:05:00,41.8271,-83.1936,NA,NA,clear,2.2,26.2,NA,NA,NA,NA,NA,NA,NA,0.1,NA,0.9500000000000001,4.2,15.5,5.31,0.62,4.7700000000000005,0.15300000000000002,NA,0.36,0.07,2.47,NA,3.1,1.74
7/12/2012,WE6,3,0.75,Surface,11:50:00,41.7051,-83.4696,NA,NA,clear,0.5,26,NA,NA,NA,NA,NA,NA,NA,0.45,NA,2.57,29.05,44.86,5.88,0.27,1.1600000000000001,NA,NA,2.41,0.4,3.22,NA,18.9,4.4
7/12/2012,WE8,4.8,0.75,Surface,12:25:00,41.8333,-83.364,NA,NA,clear,1.3,26.7,NA,NA,NA,NA,NA,NA,NA,0.29000000000000004,NA,2.06,14.95,29.41,7.69,0.35,4.85,0.065,NA,1.09,0.18,2.86,NA,7.28,1.8
7/23/2012,WE2,4.9,0.75,Surface,10:58:00,41.7579,-83.3302,NA,NA,sunny,0.5,26.2,NA,NA,NA,NA,NA,NA,NA,0.37,NA,2.8099999999999996,16.52,60.98,25.05,15.56,12.82,0.01,NA,1.45,0.25,3.29,NA,16.33,2.83
7/23/2012,WE4,7.8,0.75,Surface,12:19:00,41.8262,-83.1951,NA,NA,sunny,2.5,26.6,NA,NA,NA,NA,NA,NA,NA,0.48000000000000004,NA,4.68,18.75,39,10.13,2.34,7.31,0.031,NA,1.28,0.22,NA,NA,8.96,2.58
7/23/2012,WE6,2.3,0.75,Surface,11:28:00,41.7108,-83.3821,NA,NA,sunny,0.7,26.2,NA,NA,NA,NA,NA,NA,NA,1.29,NA,9.44,36.38,95.28,35.36,23.09,4.54,0.046,NA,2.61,0.43,4.03,NA,24.55,6.65
7/23/2012,WE8,3.9,0.75,Surface,10:28:00,41.8364,-83.3648,NA,NA,partly cloudy,1.5,26.3,NA,NA,NA,NA,NA,NA,NA,0.69,NA,4.53,12.65,41.92,19.68,10.41,17.67,0.019,NA,0.97,0.17,NA,NA,6.33,2.09
7/27/2012,WE4,NA,0.75,Surface,NA,41.8263,-83.1929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05,NA,14.31,13.89,NA,NA,0.28,16.610000000000003,0.062,NA,NA,NA,NA,NA,NA,NA
7/31/2012,WE2,5,0.75,Surface,11:53:00,41.7629,-83.3299,NA,NA,sunny,1,26.6,NA,NA,NA,NA,NA,NA,NA,0.1,NA,1.44,7.38,42.03,16.55,10.350000000000001,0.45,0.41300000000000003,NA,0.97,0.16,3.21,NA,8.5,2.3
7/31/2012,WE4,8.3,0.75,Surface,14:25:00,41.8263,-83.1929,NA,NA,sunny,2.1,27.1,NA,NA,NA,NA,NA,NA,NA,0.1,NA,4.51,16.41,22.82,3.81,0.25,0.04,0.446,NA,1.28,0.2,3.42,NA,4.37,2.77
7/31/2012,WE6,NA,0.75,Surface,12:20:00,41.707,-83.3833,NA,NA,sunny,0.8,26.8,NA,NA,NA,NA,NA,NA,NA,0.21000000000000002,NA,36.57,35.58,NA,9.92,0.6799999999999999,0.04,0.42400000000000004,NA,3.13,0.49,3.97,NA,12.5,5.5
7/31/2012,WE8,3.8,0.75,Surface,15:10:00,41.8335,-83.3677,NA,NA,sunny,1.3,28.3,NA,NA,NA,NA,NA,NA,NA,0.33999999999999997,NA,24.55,30.17,51.06,9.91,0.71,0.04,0.401,NA,2.67,0.5,3.42,NA,7.73,4.9
7/31/2012,WE 2012.1,3.1,0.75,Surface,13:20:00,41.6315,-83.1521,NA,NA,sunny,1.5,27.1,NA,NA,NA,NA,NA,NA,NA,0.1,NA,1.94,6.72,20.94,4.36,0.25,0.04,0.389,NA,1.07,0.15,NA,NA,NA,NA
7/31/2012,WE 2012.2,9,0.75,Surface,13:50:00,41.7394,-83.1144,NA,NA,sunny,1.3,27.6,NA,NA,NA,NA,NA,NA,NA,0.1,NA,1.04,8.38,30.41,10.61,3.22,0.04,0.405,NA,0.82,0.16,NA,NA,NA,NA
7/31/2012,WE 2012.3,8.4,0.75,Surface,14:12:00,41.796,-83.1675,NA,NA,mostly sunny,1.5,27,NA,NA,NA,NA,NA,NA,NA,0.1,NA,5.1499999999999995,15.62,NA,4.25,0.25,0.04,0.405,NA,1.19,0.18,NA,NA,NA,NA
8/6/2012,WE2,5,0.75,Surface,11:18:00,41.7633,-83.3299,NA,NA,sunny,1.1,24.2,NA,NA,NA,NA,NA,NA,NA,0.1,NA,1.03,6.9,28.2,10.64,5.17,0.04,0.394,NA,0.63,0.1,2.72,NA,6.63,1.87
8/6/2012,WE4,8.2,0.75,Surface,10:51:00,41.827,-83.1944,NA,NA,sunny,1.7,24.2,NA,NA,NA,NA,NA,NA,NA,0.52,NA,9.76,16.38,26.4,4.42,0.35,6.44,0.47500000000000003,NA,1.12,0.2,2.74,NA,4.67,1.73
