measure_date,station,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9
2015-08-04,WE4,0.008,0.127,0.001,0.01,0.008,0.102,0.092,0.052,0.058,0.036,0.037,0.029,0.027
2015-08-14,WE4,0.01,0.15,0.002,0.017,0.012,0.122,0.099,0.057,0.048,0.041,0.04,0.033,0.034
2015-08-24,WE4,0.009,0.126,0.001,0.011,0.008,0.106,0.103,0.058,0.065,0.039,0.037,0.031,0.027
2015-10-23,WE4,0.012,0.151,0.005,0.009,0.008,0.119,0.088,0.047,0.037,0.03,0.028,0.022,0.023
2016-06-29,WE4,0.006,0.119,0.001,0.002,0.001,0.093,0.065,0.027,0.021,0.017,0.014,0.012,0.01
2016-07-19,WE4,0.007,0.129,0.001,0.007,0.005,0.099,0.075,0.04,0.033,0.028,0.026,0.022,0.021
2016-08-08,WE4,0.008,0.121,0.001,0.011,0.008,0.094,0.072,0.038,0.032,0.026,0.024,0.022,0.021
2016-08-28,WE4,0.005,0.15,0.001,0.012,0.002,0.125,0.107,0.06,0.056,0.042,0.031,0.022,0.022
2016-10-07,WE4,0.006,0.147,0,0.003,0.002,0.121,0.1,0.051,0.037,0.023,0.02,0.017,0.015
2016-11-26,WE4,0.014,0.182,0.002,0.015,0.011,0.14,0.094,0.054,0.044,0.037,0.035,0.031,0.026
2017-03-16,WE4,0.01,0.16,0.001,0.003,0.002,0.141,0.127,0.1,0.082,0.043,0.038,0.03,0.023
2017-04-25,WE4,0.045,0.186,0.002,0.061,0.061,0.149,0.135,0.101,0.091,0.082,0.089,0.065,0.089
2017-05-15,WE4,0.007,0.132,0.001,0.006,0.004,0.112,0.097,0.046,0.035,0.023,0.021,0.018,0.015
2017-06-24,WE4,0.012,0.137,0.001,0.028,0.022,0.114,0.091,0.056,0.05,0.044,0.043,0.039,0.039
2017-07-09,WE4,0.009,0.13,0.001,0.018,0.014,0.108,0.083,0.045,0.038,0.034,0.033,0.029,0.029
2017-07-14,WE4,0.008,0.137,0.001,0.009,0.006,0.106,0.079,0.042,0.034,0.029,0.027,0.023,0.022
2017-07-29,WE4,0.01,0.129,0.001,0.019,0.015,0.107,0.094,0.06,0.053,0.038,0.038,0.034,0.031
2017-08-03,WE4,0.008,0.143,0.001,0.007,0.004,0.112,0.089,0.05,0.043,0.035,0.033,0.027,0.027
2017-08-18,WE4,0.045,0.229,0.001,0.135,0.098,0.25,0.223,0.186,0.169,0.147,0.139,0.184,0.127
2017-08-23,WE4,0.009,0.133,0,0.013,0.01,0.11,0.099,0.059,0.059,0.039,0.039,0.032,0.029
2017-09-12,WE4,0.014,0.148,0.004,0.014,0.009,0.12,0.094,0.059,0.048,0.038,0.036,0.027,0.029
2017-10-02,WE4,0.011,0.142,0.005,0.007,0.005,0.116,0.089,0.041,0.033,0.026,0.023,0.021,0.019
2017-10-17,WE4,0.006,0.14,0.001,0.004,0.002,0.115,0.09,0.043,0.033,0.022,0.02,0.016,0.014
2017-10-22,WE4,0.012,0.149,0.006,0.011,0.008,0.117,0.083,0.043,0.035,0.029,0.028,0.023,0.023
2017-11-06,WE4,0.055,0.225,0.002,0.129,0.123,0.212,0.176,0.143,0.131,0.121,0.119,0.127,0.113
2017-11-26,WE4,0.007,0.166,0.001,0.002,0.002,0.137,0.106,0.054,0.04,0.025,0.022,0.018,0.015
2018-03-01,WE4,0.638,0.996,0.179,0.196,0.215,0.971,0.899,0.961,0.969,0.977,0.988,0.954,0.982
2018-03-06,WE4,0.009,0.155,0.001,0.004,0.002,0.132,0.117,0.083,0.066,0.036,0.031,0.026,0.02
2018-03-11,WE4,0.007,0.152,0.001,0.002,0.001,0.134,0.122,0.073,0.054,0.027,0.024,0.019,0.015
2018-03-16,WE4,0.007,0.148,0.001,0.002,0.001,0.128,0.107,0.049,0.036,0.021,0.019,0.015,0.013
2018-03-26,WE4,0.01,0.151,0.001,0.005,0.004,0.132,0.127,0.116,0.105,0.061,0.054,0.045,0.035
2018-04-10,WE4,0.013,0.17,0.002,0.008,0.005,0.148,0.118,0.057,0.044,0.032,0.029,0.025,0.022
2018-04-20,WE4,0.009,0.159,0.001,0.003,0.002,0.146,0.139,0.119,0.102,0.051,0.047,0.038,0.028
2018-04-25,WE4,0.053,0.229,0.008,0.114,0.097,0.215,0.194,0.152,0.137,0.121,0.123,0.114,0.118
2018-04-30,WE4,0.012,0.13,0.001,0.009,0.007,0.104,0.079,0.04,0.033,0.026,0.024,0.021,0.019
2018-05-10,WE4,0.01,0.153,0.001,0.015,0.011,0.121,0.094,0.053,0.045,0.037,0.035,0.031,0.029
2018-05-25,WE4,0.007,0.127,0.001,0.007,0.005,0.104,0.093,0.053,0.044,0.027,0.025,0.021,0.018
2018-06-04,WE4,0.014,0.137,0.001,0.028,0.023,0.118,0.103,0.067,0.058,0.045,0.044,0.04,0.039
2018-06-14,WE4,0.007,0.129,0.001,0.009,0.007,0.101,0.091,0.048,0.044,0.027,0.026,0.022,0.02
2018-06-24,WE4,0.009,0.171,0.001,0.03,0.022,0.154,0.136,0.085,0.067,0.049,0.05,0.044,0.043
2018-06-29,WE4,0.007,0.137,0.001,0.013,0.01,0.111,0.089,0.047,0.038,0.033,0.031,0.028,0.027
2018-07-04,WE4,0.004,0.121,0,0.004,0.002,0.093,0.08,0.043,0.041,0.033,0.033,0.026,0.026
2018-07-09,WE4,0.01,0.129,0.001,0.014,0.014,0.105,0.085,0.046,0.039,0.031,0.03,0.027,0.024
2018-07-24,WE4,0.007,0.15,0.001,0.011,0.007,0.119,0.101,0.06,0.059,0.043,0.042,0.033,0.032
2018-08-03,WE4,0.007,0.142,0.001,0.006,0.004,0.112,0.086,0.045,0.036,0.029,0.028,0.023,0.022
2018-08-13,WE4,0.006,0.133,0.001,0.006,0.004,0.105,0.089,0.045,0.038,0.028,0.027,0.021,0.021
2018-08-18,WE4,0.01,0.15,0.001,0.012,0.007,0.119,0.091,0.056,0.048,0.041,0.039,0.033,0.034
2018-08-23,WE4,0.006,0.126,0.001,0.006,0.004,0.096,0.073,0.039,0.032,0.025,0.024,0.02,0.018
2018-08-28,WE4,0.01,0.146,0.001,0.012,0.008,0.137,0.1,0.055,0.045,0.035,0.034,0.046,0.029
2018-09-02,WE4,0.005,0.128,0.001,0.006,0.003,0.101,0.086,0.046,0.041,0.027,0.025,0.02,0.018
2018-10-12,WE4,0.254,0.553,0.004,0.414,0.308,0.52,0.482,0.502,0.507,0.512,0.53,0.497,0.54
2019-03-16,WE4,0.014,0.158,0.002,0.01,0.008,0.134,0.115,0.066,0.053,0.034,0.032,0.028,0.024
2019-03-26,WE4,0.007,0.13,0.001,0.002,0.001,0.105,0.082,0.037,0.028,0.019,0.017,0.013,0.011
2019-04-15,WE4,0.013,0.158,0.001,0.011,0.009,0.144,0.136,0.124,0.114,0.068,0.064,0.055,0.042
2019-05-05,WE4,0.01,0.148,0.001,0.009,0.007,0.132,0.119,0.068,0.052,0.031,0.029,0.025,0.022
2019-05-15,WE4,0.008,0.15,0.001,0.007,0.005,0.132,0.123,0.081,0.063,0.034,0.033,0.027,0.022
2019-05-25,WE4,0.018,0.145,0.007,0.03,0.022,0.123,0.102,0.068,0.057,0.049,0.048,0.047,0.044
2019-05-30,WE4,0.085,0.224,0.031,0.178,0.131,0.279,0.242,0.23,0.218,0.191,0.168,0.226,0.157
2019-07-04,WE4,0.007,0.144,0,0.02,0.014,0.114,0.092,0.061,0.052,0.043,0.042,0.036,0.037
2019-07-09,WE4,0.028,0.158,0.01,0.029,0.021,0.129,0.1,0.069,0.063,0.06,0.058,0.053,0.052
2019-07-14,WE4,0.006,0.117,0.001,0.005,0.003,0.088,0.063,0.03,0.024,0.02,0.018,0.015,0.014
2019-07-24,WE4,0.01,0.133,0.001,0.011,0.007,0.111,0.109,0.061,0.089,0.057,0.057,0.046,0.039
2019-07-29,WE4,0.01,0.157,0.001,0.022,0.016,0.133,0.125,0.076,0.078,0.056,0.056,0.047,0.046
2019-08-08,WE4,0.009,0.133,0.001,0.019,0.014,0.105,0.08,0.047,0.04,0.036,0.035,0.031,0.031
2019-08-23,WE4,0.008,0.129,0.001,0.007,0.005,0.106,0.1,0.05,0.051,0.032,0.03,0.025,0.022
2019-08-28,WE4,0.008,0.132,0.002,0.011,0.008,0.111,0.105,0.062,0.06,0.038,0.036,0.031,0.028
2019-09-02,WE4,0.006,0.132,0.001,0.004,0.002,0.106,0.097,0.054,0.053,0.03,0.029,0.023,0.02
2019-09-07,WE4,0.013,0.141,0.007,0.015,0.011,0.113,0.085,0.049,0.041,0.035,0.034,0.031,0.029
2019-09-17,WE4,0.016,0.164,0.002,0.032,0.024,0.131,0.099,0.066,0.058,0.053,0.053,0.045,0.047
2019-09-22,WE4,0.006,0.131,0.001,0.007,0.004,0.102,0.08,0.041,0.033,0.026,0.025,0.02,0.02
2019-10-12,WE4,0.009,0.135,0.001,0.004,0.002,0.099,0.068,0.039,0.032,0.024,0.022,0.018,0.015
2019-11-26,WE4,0.009,0.177,0.001,0.005,0.003,0.142,0.098,0.051,0.041,0.034,0.031,0.025,0.024
2020-03-05,WE4,0.008,0.142,0.002,0.004,0.002,0.115,0.082,0.036,0.028,0.022,0.019,0.015,0.014
2020-03-15,WE4,0.006,0.131,0.001,0.003,0.002,0.101,0.074,0.034,0.027,0.02,0.017,0.014,0.012
